Feature,Value
words per sent,36.0
LIX,60.33333333333333
# words,1800
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.583
adjectives,3.1
nouns,6.0
verbs,5.26
pronouns,8.32
particles,8.5
punctuation marks,4.76
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.34
aux verbs,1.2
full verbs,3.72
split verbs,0.16
nominative,1.26
accusative,2.76
dative,1.7
genitive,0.46
gen modifiers,0.32
prep with gen,0.04
all genitives,0.38
accusative obj,1.94
dative obj,0.34
genitive obj,0.02
prepositional obj,0.38
acc+dat obj,2.28
gen+prep obj,0.4
present forms,0.36
past forms,1.48
perfect forms,0.06
pqp forms,0.04
perfect+pqp forms,0.18
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.88
subj 2 forms,0.02
subj 2 aux forms,0.6
ind speech,0.02
irrealis mode,0.06
all subj forms,1.5
imperatives,0.02
passive voice,0.06
passive with agens,0.0
comparative,0.08
superlative,0.14
comp+superlative,0.22
conjunctions,0.46
subjunctions,0.34
relative clauses,0.66
participial clauses pres,0.0
participial clauses past,0.06
all participial clauses,0.06
negations,0.38
question words,0.18
question marks,0.04
subj/pred inversions,0.86
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,126.38
concessive,16.26
conditional,249.28
consecutive,7.62
final,16.38
interrogative,7.9
modal,60.32
other,297.46
temporal,244.48
A1 features,8
A1 features summed,1.6400000000000001
A2 features,9
A2 features summed,386.48
B1 features,7
B1 features summed,277.0
level features (all),49
level features (all) summed,62.50000000000003
