Feature,Value
words per sent,30.22
LIX,51.19948378557247
# words,1511
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5569767441860465
adjectives,2.84
nouns,5.52
verbs,3.96
pronouns,6.66
particles,6.62
punctuation marks,4.42
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,1.08
full verbs,2.62
split verbs,0.18
nominative,1.4
accusative,1.62
dative,1.56
genitive,0.62
gen modifiers,0.44
prep with gen,0.08
all genitives,0.54
accusative obj,1.08
dative obj,0.2
genitive obj,0.02
prepositional obj,0.2
acc+dat obj,1.28
gen+prep obj,0.22
present forms,1.42
past forms,0.54
perfect forms,0.28
pqp forms,0.04
perfect+pqp forms,0.12
past aux forms,0.04
futur 1 forms,0.0
futur 2 forms,0.32
all futur forms,0.04
subj 1 forms,0.16
subj 2 forms,0.0
subj 2 aux forms,0.06
ind speech,0.0
irrealis mode,0.0
all subj forms,0.22
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.08
superlative,0.0
comp+superlative,0.08
conjunctions,0.34
subjunctions,0.22
relative clauses,0.48
participial clauses pres,0.02
participial clauses past,0.06
all participial clauses,0.08
negations,0.3
question words,0.24
question marks,0.0
subj/pred inversions,0.64
placeholder 'es',0.08
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,128.48
concessive,16.64
conditional,251.18
consecutive,7.62
final,16.58
interrogative,7.98
modal,61.48
other,300.46
temporal,247.6
A1 features,8
A1 features summed,1.58
A2 features,9
A2 features summed,388.8
B1 features,6
B1 features summed,280.34000000000003
level features (all),47
level features (all) summed,49.21999999999999
