Feature,Value
words per sent,35.14
LIX,58.475230506545245
# words,1757
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5601145038167938
adjectives,3.44
nouns,7.16
verbs,4.66
pronouns,7.08
particles,8.0
punctuation marks,4.74
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.24
aux verbs,0.86
full verbs,3.48
split verbs,0.22
nominative,1.9
accusative,1.68
dative,2.34
genitive,0.88
gen modifiers,0.76
prep with gen,0.0
all genitives,0.78
accusative obj,1.3
dative obj,0.26
genitive obj,0.02
prepositional obj,0.32
acc+dat obj,1.56
gen+prep obj,0.34
present forms,0.56
past forms,1.78
perfect forms,0.14
pqp forms,0.12
perfect+pqp forms,0.32
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.26
all futur forms,0.0
subj 1 forms,0.06
subj 2 forms,0.02
subj 2 aux forms,0.04
ind speech,0.02
irrealis mode,0.0
all subj forms,0.12
imperatives,0.0
passive voice,0.04
passive with agens,0.0
comparative,0.12
superlative,0.04
comp+superlative,0.16
conjunctions,0.58
subjunctions,0.36
relative clauses,0.56
participial clauses pres,0.02
participial clauses past,0.02
all participial clauses,0.04
negations,0.22
question words,0.22
question marks,0.02
subj/pred inversions,0.9
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,121.54
concessive,15.28
conditional,242.62
consecutive,7.62
final,15.88
interrogative,7.7
modal,57.44
other,288.62
temporal,238.08
A1 features,7
A1 features summed,1.6399999999999997
A2 features,9
A2 features summed,375.06
B1 features,7
B1 features summed,269.3
level features (all),48
level features (all) summed,58.78000000000001
