Feature,Value
words per sent,37.82
LIX,60.24199894235854
# words,1891
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.6123019571295434
adjectives,3.24
nouns,6.68
verbs,5.84
pronouns,8.06
particles,9.28
punctuation marks,4.58
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,1.2
full verbs,4.46
split verbs,0.42
nominative,1.34
accusative,2.68
dative,2.42
genitive,0.4
gen modifiers,0.2
prep with gen,0.06
all genitives,0.26
accusative obj,1.94
dative obj,0.36
genitive obj,0.0
prepositional obj,0.38
acc+dat obj,2.3
gen+prep obj,0.38
present forms,0.42
past forms,1.86
perfect forms,0.08
pqp forms,0.54
perfect+pqp forms,0.74
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.62
all futur forms,0.02
subj 1 forms,0.18
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.28
imperatives,0.06
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.04
comp+superlative,0.06
conjunctions,1.12
subjunctions,0.34
relative clauses,0.8
participial clauses pres,0.08
participial clauses past,0.1
all participial clauses,0.18
negations,0.14
question words,0.3
question marks,0.04
subj/pred inversions,0.76
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,123.74
concessive,15.8
conditional,246.34
consecutive,7.62
final,16.18
interrogative,7.8
modal,58.86
other,293.34
temporal,241.74
A1 features,9
A1 features summed,2.2800000000000002
A2 features,9
A2 features summed,380.62
B1 features,5
B1 features summed,273.76000000000005
level features (all),48
level features (all) summed,65.52000000000004
