Feature,Value
words per sent,13.66
LIX,28.154875549048317
# words,683
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5645161290322581
adjectives,0.68
nouns,1.58
verbs,2.26
pronouns,3.32
particles,3.58
punctuation marks,2.14
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,0.46
full verbs,1.5
split verbs,0.12
nominative,0.4
accusative,0.76
dative,0.56
genitive,0.18
gen modifiers,0.16
prep with gen,0.0
all genitives,0.16
accusative obj,0.7
dative obj,0.08
genitive obj,0.0
prepositional obj,0.12
acc+dat obj,0.78
gen+prep obj,0.12
present forms,0.5
past forms,0.58
perfect forms,0.08
pqp forms,0.08
perfect+pqp forms,0.22
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.16
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.04
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.14
subjunctions,0.1
relative clauses,0.14
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.2
question words,0.08
question marks,0.0
subj/pred inversions,0.62
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,186.74
concessive,23.48
conditional,338.78
consecutive,8.12
final,24.28
interrogative,11.04
modal,77.2
other,390.96
temporal,319.18
A1 features,6
A1 features summed,0.78
A2 features,7
A2 features summed,534.5799999999999
B1 features,5
B1 features summed,361.96
level features (all),39
level features (all) summed,22.879999999999992
