Feature,Value
words per sent,18.54
LIX,35.044854368932036
# words,927
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5685071574642127
adjectives,1.2
nouns,3.04
verbs,3.04
pronouns,4.66
particles,4.08
punctuation marks,2.44
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.26
aux verbs,0.88
full verbs,1.84
split verbs,0.18
nominative,0.86
accusative,1.3
dative,0.82
genitive,0.4
gen modifiers,0.4
prep with gen,0.0
all genitives,0.4
accusative obj,1.02
dative obj,0.16
genitive obj,0.0
prepositional obj,0.32
acc+dat obj,1.18
gen+prep obj,0.32
present forms,0.0
past forms,0.8
perfect forms,0.0
pqp forms,0.28
perfect+pqp forms,0.68
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.28
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.02
irrealis mode,0.0
all subj forms,0.04
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.02
comp+superlative,0.04
conjunctions,0.32
subjunctions,0.12
relative clauses,0.14
participial clauses pres,0.02
participial clauses past,0.0
all participial clauses,0.02
negations,0.12
question words,0.04
question marks,0.04
subj/pred inversions,0.26
placeholder 'es',0.08
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,187.42
concessive,23.62
conditional,339.7
consecutive,8.12
final,24.32
interrogative,11.06
modal,77.44
other,392.24
temporal,320.26
A1 features,6
A1 features summed,0.96
A2 features,8
A2 features summed,536.9399999999999
B1 features,5
B1 features summed,363.2
level features (all),42
level features (all) summed,32.18
