Feature,Value
words per sent,13.04
LIX,25.00319018404908
# words,652
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.45821325648414984
adjectives,0.44
nouns,0.94
verbs,2.48
pronouns,3.3
particles,2.98
punctuation marks,2.9
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,0.64
full verbs,1.64
split verbs,0.1
nominative,0.22
accusative,0.82
dative,0.48
genitive,0.04
gen modifiers,0.04
prep with gen,0.0
all genitives,0.04
accusative obj,0.78
dative obj,0.18
genitive obj,0.0
prepositional obj,0.08
acc+dat obj,0.96
gen+prep obj,0.08
present forms,0.68
past forms,0.34
perfect forms,0.14
pqp forms,0.0
perfect+pqp forms,0.02
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.14
all futur forms,0.1
subj 1 forms,0.06
subj 2 forms,0.02
subj 2 aux forms,0.04
ind speech,0.02
irrealis mode,0.02
all subj forms,0.12
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.1
subjunctions,0.2
relative clauses,0.08
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.16
question words,0.04
question marks,0.04
subj/pred inversions,0.56
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,190.48
concessive,24.32
conditional,344.42
consecutive,8.12
final,24.94
interrogative,11.18
modal,79.36
other,401.16
temporal,325.72
A1 features,8
A1 features summed,0.84
A2 features,8
A2 features summed,543.6999999999999
B1 features,5
B1 features summed,369.42
level features (all),42
level features (all) summed,22.299999999999994
