Feature,Value
words per sent,21.22
LIX,37.99662582469368
# words,1061
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5337620578778135
adjectives,1.8
nouns,3.02
verbs,3.3
pronouns,4.96
particles,3.9
punctuation marks,4.22
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.18
aux verbs,0.7
full verbs,2.36
split verbs,0.1
nominative,0.72
accusative,1.32
dative,0.88
genitive,0.32
gen modifiers,0.28
prep with gen,0.02
all genitives,0.3
accusative obj,1.0
dative obj,0.34
genitive obj,0.0
prepositional obj,0.26
acc+dat obj,1.34
gen+prep obj,0.26
present forms,0.74
past forms,1.0
perfect forms,0.18
pqp forms,0.1
perfect+pqp forms,0.12
past aux forms,0.04
futur 1 forms,0.0
futur 2 forms,0.28
all futur forms,0.04
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.08
superlative,0.02
comp+superlative,0.1
conjunctions,0.4
subjunctions,0.12
relative clauses,0.18
participial clauses pres,0.08
participial clauses past,0.08
all participial clauses,0.16
negations,0.16
question words,0.12
question marks,0.06
subj/pred inversions,0.78
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,180.5
concessive,22.32
conditional,330.1
consecutive,8.12
final,23.12
interrogative,10.88
modal,74.0
other,375.76
temporal,308.86
A1 features,9
A1 features summed,1.28
A2 features,8
A2 features summed,520.68
B1 features,5
B1 features summed,350.36
level features (all),47
level features (all) summed,36.519999999999996
