Feature,Value
words per sent,15.0
LIX,32.86666666666667
# words,750
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5079726651480638
adjectives,0.9
nouns,2.0
verbs,2.42
pronouns,3.64
particles,2.9
punctuation marks,3.1
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.04
aux verbs,0.74
full verbs,1.5
split verbs,0.08
nominative,0.52
accusative,0.96
dative,0.66
genitive,0.16
gen modifiers,0.14
prep with gen,0.02
all genitives,0.16
accusative obj,0.74
dative obj,0.3
genitive obj,0.0
prepositional obj,0.12
acc+dat obj,1.04
gen+prep obj,0.12
present forms,0.9
past forms,0.36
perfect forms,0.1
pqp forms,0.04
perfect+pqp forms,0.08
past aux forms,0.06
futur 1 forms,0.0
futur 2 forms,0.14
all futur forms,0.06
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.04
comp+superlative,0.06
conjunctions,0.14
subjunctions,0.14
relative clauses,0.24
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.18
question words,0.14
question marks,0.04
subj/pred inversions,0.38
placeholder 'es',0.04
'brauchen' constr,0.02
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.02
causal,190.36
concessive,24.32
conditional,344.26
consecutive,8.12
final,24.9
interrogative,11.18
modal,79.22
other,400.6
temporal,325.44
A1 features,9
A1 features summed,0.8000000000000002
A2 features,8
A2 features summed,543.6800000000001
B1 features,5
B1 features summed,369.3
level features (all),44
level features (all) summed,25.47999999999999
