Feature,Value
words per sent,24.96
LIX,44.11064102564103
# words,1248
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5234708392603129
adjectives,1.84
nouns,3.68
verbs,3.66
pronouns,5.64
particles,5.88
punctuation marks,4.24
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.12
aux verbs,0.98
full verbs,2.46
split verbs,0.3
nominative,1.04
accusative,1.22
dative,1.24
genitive,0.36
gen modifiers,0.28
prep with gen,0.0
all genitives,0.3
accusative obj,0.96
dative obj,0.26
genitive obj,0.04
prepositional obj,0.2
acc+dat obj,1.22
gen+prep obj,0.24
present forms,0.52
past forms,0.96
perfect forms,0.06
pqp forms,0.18
perfect+pqp forms,0.56
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.24
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.06
ind speech,0.0
irrealis mode,0.0
all subj forms,0.16
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.24
superlative,0.04
comp+superlative,0.28
conjunctions,0.38
subjunctions,0.2
relative clauses,0.22
participial clauses pres,0.02
participial clauses past,0.04
all participial clauses,0.06
negations,0.2
question words,0.18
question marks,0.0
subj/pred inversions,0.48
placeholder 'es',0.08
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,188.28
concessive,23.88
conditional,341.36
consecutive,8.12
final,24.46
interrogative,11.1
modal,77.8
other,395.06
temporal,321.96
A1 features,6
A1 features summed,1.2400000000000002
A2 features,9
A2 features summed,539.7599999999999
B1 features,6
B1 features summed,365.32
level features (all),44
level features (all) summed,41.420000000000016
