Feature,Value
words per sent,13.34
LIX,30.43145427286357
# words,667
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4875
adjectives,0.58
nouns,2.06
verbs,2.22
pronouns,2.94
particles,2.62
punctuation marks,2.9
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.12
aux verbs,0.58
full verbs,1.52
split verbs,0.12
nominative,0.6
accusative,0.8
dative,0.44
genitive,0.18
gen modifiers,0.16
prep with gen,0.0
all genitives,0.16
accusative obj,0.66
dative obj,0.14
genitive obj,0.0
prepositional obj,0.14
acc+dat obj,0.8
gen+prep obj,0.14
present forms,0.52
past forms,0.66
perfect forms,0.06
pqp forms,0.02
perfect+pqp forms,0.14
past aux forms,0.12
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.12
subj 1 forms,0.12
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.02
irrealis mode,0.0
all subj forms,0.12
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.02
comp+superlative,0.02
conjunctions,0.2
subjunctions,0.12
relative clauses,0.22
participial clauses pres,0.04
participial clauses past,0.0
all participial clauses,0.04
negations,0.16
question words,0.04
question marks,0.0
subj/pred inversions,0.44
placeholder 'es',0.08
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,184.9
concessive,23.22
conditional,336.74
consecutive,8.12
final,23.98
interrogative,11.0
modal,76.4
other,386.78
temporal,316.52
A1 features,8
A1 features summed,0.8600000000000001
A2 features,7
A2 features summed,530.86
B1 features,5
B1 features summed,359.08
level features (all),44
level features (all) summed,23.28
