Feature,Value
words per sent,13.86
LIX,32.041818181818186
# words,693
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.471563981042654
adjectives,0.68
nouns,1.8
verbs,2.34
pronouns,3.58
particles,2.4
punctuation marks,3.02
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.6
full verbs,1.54
split verbs,0.04
nominative,0.5
accusative,0.98
dative,0.78
genitive,0.14
gen modifiers,0.1
prep with gen,0.0
all genitives,0.12
accusative obj,0.88
dative obj,0.52
genitive obj,0.02
prepositional obj,0.06
acc+dat obj,1.4
gen+prep obj,0.08
present forms,1.12
past forms,0.16
perfect forms,0.04
pqp forms,0.0
perfect+pqp forms,0.04
past aux forms,0.06
futur 1 forms,0.0
futur 2 forms,0.04
all futur forms,0.06
subj 1 forms,0.04
subj 2 forms,0.0
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.06
imperatives,0.12
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.02
comp+superlative,0.06
conjunctions,0.16
subjunctions,0.06
relative clauses,0.1
participial clauses pres,0.02
participial clauses past,0.0
all participial clauses,0.02
negations,0.18
question words,0.06
question marks,0.02
subj/pred inversions,0.38
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,190.36
concessive,24.32
conditional,344.18
consecutive,8.12
final,24.88
interrogative,11.18
modal,79.18
other,400.52
temporal,325.38
A1 features,9
A1 features summed,0.78
A2 features,9
A2 features summed,543.5600000000001
B1 features,6
B1 features summed,369.12
level features (all),46
level features (all) summed,24.599999999999984
