Feature,Value
words per sent,11.84
LIX,26.367027027027028
# words,592
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.41642228739002934
adjectives,0.52
nouns,1.46
verbs,1.92
pronouns,2.74
particles,2.3
punctuation marks,2.86
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.12
aux verbs,0.7
full verbs,1.06
split verbs,0.02
nominative,0.34
accusative,0.68
dative,0.4
genitive,0.12
gen modifiers,0.08
prep with gen,0.0
all genitives,0.1
accusative obj,0.62
dative obj,0.16
genitive obj,0.02
prepositional obj,0.06
acc+dat obj,0.78
gen+prep obj,0.08
present forms,0.72
past forms,0.12
perfect forms,0.2
pqp forms,0.02
perfect+pqp forms,0.08
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.22
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.08
subjunctions,0.04
relative clauses,0.08
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.12
question marks,0.08
subj/pred inversions,0.24
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,188.82
concessive,24.08
conditional,342.46
consecutive,8.12
final,24.56
interrogative,11.14
modal,78.54
other,397.26
temporal,323.3
A1 features,8
A1 features summed,0.8400000000000001
A2 features,8
A2 features summed,539.84
B1 features,6
B1 features summed,366.74
level features (all),43
level features (all) summed,19.519999999999982
