Feature,Value
words per sent,15.72
LIX,34.803969465648855
# words,786
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4745762711864407
adjectives,0.84
nouns,1.94
verbs,2.96
pronouns,3.64
particles,3.48
punctuation marks,2.84
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.26
aux verbs,0.58
full verbs,2.02
split verbs,0.2
nominative,0.56
accusative,1.02
dative,0.7
genitive,0.14
gen modifiers,0.12
prep with gen,0.0
all genitives,0.12
accusative obj,0.9
dative obj,0.18
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.08
gen+prep obj,0.2
present forms,0.48
past forms,0.86
perfect forms,0.12
pqp forms,0.08
perfect+pqp forms,0.16
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.02
subj 1 forms,0.04
subj 2 forms,0.06
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.12
imperatives,0.04
passive voice,0.04
passive with agens,0.0
comparative,0.04
superlative,0.02
comp+superlative,0.06
conjunctions,0.32
subjunctions,0.12
relative clauses,0.26
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.08
question words,0.12
question marks,0.04
subj/pred inversions,0.48
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,186.56
concessive,23.48
conditional,338.7
consecutive,8.12
final,24.24
interrogative,11.04
modal,77.1
other,390.44
temporal,318.86
A1 features,9
A1 features summed,1.2000000000000002
A2 features,9
A2 features summed,534.8
B1 features,6
B1 features summed,361.8
level features (all),48
level features (all) summed,27.859999999999985
