Feature,Value
words per sent,20.64
LIX,43.99271317829458
# words,1032
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5946372239747634
adjectives,2.06
nouns,3.68
verbs,2.68
pronouns,4.42
particles,4.44
punctuation marks,3.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.62
full verbs,1.94
split verbs,0.14
nominative,0.9
accusative,1.16
dative,1.14
genitive,0.38
gen modifiers,0.34
prep with gen,0.0
all genitives,0.34
accusative obj,0.92
dative obj,0.28
genitive obj,0.0
prepositional obj,0.14
acc+dat obj,1.2
gen+prep obj,0.14
present forms,0.5
past forms,0.8
perfect forms,0.08
pqp forms,0.08
perfect+pqp forms,0.16
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.16
all futur forms,0.02
subj 1 forms,0.06
subj 2 forms,0.0
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.12
superlative,0.08
comp+superlative,0.2
conjunctions,0.34
subjunctions,0.04
relative clauses,0.22
participial clauses pres,0.02
participial clauses past,0.0
all participial clauses,0.02
negations,0.18
question words,0.22
question marks,0.1
subj/pred inversions,0.64
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,189.84
concessive,24.24
conditional,343.76
consecutive,8.12
final,24.8
interrogative,11.18
modal,78.92
other,399.32
temporal,324.54
A1 features,9
A1 features summed,1.2000000000000002
A2 features,9
A2 features summed,543.44
B1 features,5
B1 features summed,368.30000000000007
level features (all),46
level features (all) summed,34.560000000000024
