Feature,Value
words per sent,16.44
LIX,32.3767396593674
# words,822
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.49452954048140046
adjectives,1.04
nouns,1.96
verbs,2.68
pronouns,3.82
particles,3.7
punctuation marks,3.16
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,0.72
full verbs,1.68
split verbs,0.1
nominative,0.54
accusative,0.96
dative,0.68
genitive,0.08
gen modifiers,0.08
prep with gen,0.0
all genitives,0.08
accusative obj,0.82
dative obj,0.12
genitive obj,0.0
prepositional obj,0.16
acc+dat obj,0.94
gen+prep obj,0.16
present forms,0.74
past forms,0.42
perfect forms,0.28
pqp forms,0.08
perfect+pqp forms,0.14
past aux forms,0.04
futur 1 forms,0.0
futur 2 forms,0.36
all futur forms,0.04
subj 1 forms,0.0
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.02
passive voice,0.02
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.24
subjunctions,0.2
relative clauses,0.34
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.2
question marks,0.0
subj/pred inversions,0.64
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,190.36
concessive,24.32
conditional,344.16
consecutive,8.12
final,24.88
interrogative,11.18
modal,79.18
other,400.52
temporal,325.34
A1 features,8
A1 features summed,1.2400000000000002
A2 features,8
A2 features summed,543.44
B1 features,6
B1 features summed,369.31999999999994
level features (all),41
level features (all) summed,27.67999999999999
