Feature,Value
words per sent,28.68
LIX,51.83202231520223
# words,1434
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5303030303030303
adjectives,2.14
nouns,6.12
verbs,2.96
pronouns,6.06
particles,6.78
punctuation marks,4.34
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.12
aux verbs,0.52
full verbs,2.26
split verbs,0.14
nominative,1.32
accusative,1.6
dative,2.82
genitive,0.3
gen modifiers,0.3
prep with gen,0.0
all genitives,0.3
accusative obj,1.06
dative obj,0.46
genitive obj,0.0
prepositional obj,0.32
acc+dat obj,1.52
gen+prep obj,0.32
present forms,0.4
past forms,1.18
perfect forms,0.06
pqp forms,0.1
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.16
all futur forms,0.0
subj 1 forms,0.06
subj 2 forms,0.02
subj 2 aux forms,0.06
ind speech,0.0
irrealis mode,0.0
all subj forms,0.14
imperatives,0.02
passive voice,0.02
passive with agens,0.0
comparative,0.08
superlative,0.06
comp+superlative,0.14
conjunctions,0.42
subjunctions,0.04
relative clauses,0.58
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.16
question words,0.32
question marks,0.1
subj/pred inversions,0.58
placeholder 'es',0.02
'brauchen' constr,0.02
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.02
causal,172.52
concessive,20.5
conditional,306.48
consecutive,8.12
final,22.22
interrogative,10.26
modal,70.16
other,350.72
temporal,286.66
A1 features,8
A1 features summed,1.3400000000000003
A2 features,9
A2 features summed,489.52000000000004
B1 features,6
B1 features summed,326.14
level features (all),48
level features (all) summed,46.760000000000026
