Feature,Value
words per sent,23.14
LIX,37.22815903197926
# words,1157
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4896
adjectives,1.32
nouns,4.0
verbs,3.02
pronouns,5.14
particles,5.68
punctuation marks,3.82
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.14
aux verbs,0.88
full verbs,1.92
split verbs,0.2
nominative,1.14
accusative,1.38
dative,1.24
genitive,0.08
gen modifiers,0.06
prep with gen,0.0
all genitives,0.06
accusative obj,0.8
dative obj,0.46
genitive obj,0.0
prepositional obj,0.08
acc+dat obj,1.26
gen+prep obj,0.08
present forms,1.7
past forms,0.16
perfect forms,0.16
pqp forms,0.02
perfect+pqp forms,0.04
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.18
all futur forms,0.02
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.02
ind speech,0.02
irrealis mode,0.0
all subj forms,0.12
imperatives,0.0
passive voice,0.02
passive with agens,0.0
comparative,0.04
superlative,0.1
comp+superlative,0.14
conjunctions,0.16
subjunctions,0.1
relative clauses,0.16
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.3
question words,0.22
question marks,0.18
subj/pred inversions,1.12
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,175.56
concessive,21.7
conditional,318.48
consecutive,8.12
final,22.46
interrogative,10.54
modal,72.0
other,359.9
temporal,296.32
A1 features,8
A1 features summed,1.3799999999999997
A2 features,9
A2 features summed,502.98
B1 features,6
B1 features summed,336.86
level features (all),46
level features (all) summed,37.93999999999999
