Feature,Value
words per sent,31.28
LIX,52.12398976982097
# words,1564
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5350678733031674
adjectives,2.34
nouns,5.24
verbs,4.44
pronouns,7.08
particles,7.6
punctuation marks,4.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,1.16
full verbs,2.96
split verbs,0.12
nominative,1.04
accusative,2.34
dative,1.68
genitive,0.4
gen modifiers,0.28
prep with gen,0.0
all genitives,0.3
accusative obj,1.48
dative obj,0.24
genitive obj,0.02
prepositional obj,0.26
acc+dat obj,1.72
gen+prep obj,0.28
present forms,1.14
past forms,0.98
perfect forms,0.1
pqp forms,0.14
perfect+pqp forms,0.36
past aux forms,0.04
futur 1 forms,0.0
futur 2 forms,0.24
all futur forms,0.04
subj 1 forms,0.04
subj 2 forms,0.02
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.02
all subj forms,0.08
imperatives,0.02
passive voice,0.02
passive with agens,0.0
comparative,0.06
superlative,0.14
comp+superlative,0.2
conjunctions,0.5
subjunctions,0.14
relative clauses,0.44
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.22
question words,0.2
question marks,0.04
subj/pred inversions,0.96
placeholder 'es',0.06
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,174.12
concessive,21.12
conditional,312.78
consecutive,8.12
final,22.36
interrogative,10.46
modal,71.14
other,355.5
temporal,291.4
A1 features,9
A1 features summed,1.5400000000000003
A2 features,9
A2 features summed,496.8599999999999
B1 features,7
B1 features summed,331.58
level features (all),52
level features (all) summed,51.980000000000025
