Feature,Value
words per sent,24.16
LIX,39.47456953642384
# words,1208
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4639175257731959
adjectives,1.76
nouns,3.62
verbs,3.98
pronouns,6.18
particles,4.46
punctuation marks,4.14
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.22
aux verbs,1.12
full verbs,2.54
split verbs,0.1
nominative,1.02
accusative,1.48
dative,1.16
genitive,0.28
gen modifiers,0.14
prep with gen,0.08
all genitives,0.24
accusative obj,1.2
dative obj,0.26
genitive obj,0.02
prepositional obj,0.12
acc+dat obj,1.46
gen+prep obj,0.14
present forms,1.06
past forms,1.02
perfect forms,0.14
pqp forms,0.06
perfect+pqp forms,0.3
past aux forms,0.06
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.06
subj 1 forms,0.06
subj 2 forms,0.02
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.02
all subj forms,0.1
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.16
superlative,0.04
comp+superlative,0.2
conjunctions,0.54
subjunctions,0.18
relative clauses,0.38
participial clauses pres,0.04
participial clauses past,0.0
all participial clauses,0.04
negations,0.3
question words,0.3
question marks,0.12
subj/pred inversions,0.56
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,174.62
concessive,21.3
conditional,314.92
consecutive,8.12
final,22.44
interrogative,10.52
modal,71.4
other,357.04
temporal,293.46
A1 features,9
A1 features summed,1.8199999999999998
A2 features,9
A2 features summed,499.38
B1 features,6
B1 features summed,333.79999999999995
level features (all),50
level features (all) summed,41.760000000000026
