Feature,Value
words per sent,30.0
LIX,48.8
# words,1500
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5416666666666666
adjectives,2.14
nouns,6.6
verbs,4.12
pronouns,6.62
particles,6.46
punctuation marks,3.98
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,1.32
full verbs,2.54
split verbs,0.12
nominative,1.22
accusative,1.56
dative,2.26
genitive,1.2
gen modifiers,0.74
prep with gen,0.06
all genitives,0.86
accusative obj,1.1
dative obj,0.32
genitive obj,0.06
prepositional obj,0.24
acc+dat obj,1.42
gen+prep obj,0.3
present forms,1.36
past forms,0.36
perfect forms,0.48
pqp forms,0.06
perfect+pqp forms,0.14
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.54
all futur forms,0.02
subj 1 forms,0.14
subj 2 forms,0.08
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.26
imperatives,0.14
passive voice,0.02
passive with agens,0.0
comparative,0.02
superlative,0.04
comp+superlative,0.06
conjunctions,0.4
subjunctions,0.18
relative clauses,0.4
participial clauses pres,0.02
participial clauses past,0.02
all participial clauses,0.04
negations,0.28
question words,0.22
question marks,0.06
subj/pred inversions,0.58
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,175.68
concessive,21.78
conditional,319.18
consecutive,8.12
final,22.46
interrogative,10.56
modal,72.06
other,360.54
temporal,297.02
A1 features,9
A1 features summed,1.88
A2 features,9
A2 features summed,504.70000000000005
B1 features,7
B1 features summed,337.9599999999999
level features (all),51
level features (all) summed,51.40000000000003
