Feature,Value
words per sent,23.32
LIX,42.016397941680964
# words,1166
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5622188905547226
adjectives,1.52
nouns,4.94
verbs,2.74
pronouns,5.34
particles,5.24
punctuation marks,3.42
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.12
aux verbs,0.64
full verbs,1.9
split verbs,0.24
nominative,1.2
accusative,1.42
dative,2.1
genitive,0.18
gen modifiers,0.16
prep with gen,0.0
all genitives,0.16
accusative obj,0.9
dative obj,0.4
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.3
gen+prep obj,0.2
present forms,0.66
past forms,0.64
perfect forms,0.08
pqp forms,0.14
perfect+pqp forms,0.26
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.22
all futur forms,0.02
subj 1 forms,0.08
subj 2 forms,0.04
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.16
imperatives,0.0
passive voice,0.02
passive with agens,0.0
comparative,0.0
superlative,0.06
comp+superlative,0.06
conjunctions,0.34
subjunctions,0.06
relative clauses,0.48
participial clauses pres,0.02
participial clauses past,0.04
all participial clauses,0.06
negations,0.1
question words,0.26
question marks,0.06
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,171.28
concessive,20.1
conditional,301.32
consecutive,8.12
final,22.18
interrogative,10.1
modal,69.1
other,346.72
temporal,281.84
A1 features,8
A1 features summed,1.2200000000000002
A2 features,8
A2 features summed,482.1600000000001
B1 features,6
B1 features summed,320.65999999999997
level features (all),46
level features (all) summed,38.74000000000001
