Feature,Value
words per sent,25.08
LIX,43.50105263157894
# words,1254
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5006501950585176
adjectives,2.0
nouns,4.82
verbs,3.32
pronouns,5.68
particles,4.84
punctuation marks,4.28
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.04
aux verbs,0.74
full verbs,2.48
split verbs,0.16
nominative,1.14
accusative,1.62
dative,1.24
genitive,0.48
gen modifiers,0.34
prep with gen,0.04
all genitives,0.4
accusative obj,1.24
dative obj,0.26
genitive obj,0.02
prepositional obj,0.28
acc+dat obj,1.5
gen+prep obj,0.3
present forms,0.58
past forms,0.88
perfect forms,0.06
pqp forms,0.26
perfect+pqp forms,0.46
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.32
all futur forms,0.02
subj 1 forms,0.02
subj 2 forms,0.02
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.06
imperatives,0.0
passive voice,0.04
passive with agens,0.0
comparative,0.06
superlative,0.0
comp+superlative,0.06
conjunctions,0.32
subjunctions,0.18
relative clauses,0.8
participial clauses pres,0.02
participial clauses past,0.04
all participial clauses,0.06
negations,0.18
question words,0.2
question marks,0.1
subj/pred inversions,0.54
placeholder 'es',0.02
'brauchen' constr,0.02
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.02
causal,174.36
concessive,21.22
conditional,313.88
consecutive,8.12
final,22.4
interrogative,10.48
modal,71.2
other,356.2
temporal,292.34
A1 features,8
A1 features summed,1.08
A2 features,9
A2 features summed,498.2
B1 features,7
B1 features summed,333.02
level features (all),51
level features (all) summed,42.60000000000004
