Feature,Value
words per sent,31.22
LIX,51.975925688661114
# words,1561
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.565864833906071
adjectives,2.3
nouns,5.54
verbs,4.04
pronouns,7.28
particles,7.76
punctuation marks,4.24
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.18
aux verbs,1.02
full verbs,2.76
split verbs,0.24
nominative,1.12
accusative,2.1
dative,2.16
genitive,0.36
gen modifiers,0.24
prep with gen,0.04
all genitives,0.28
accusative obj,1.46
dative obj,0.44
genitive obj,0.0
prepositional obj,0.24
acc+dat obj,1.9
gen+prep obj,0.24
present forms,0.96
past forms,0.84
perfect forms,0.18
pqp forms,0.1
perfect+pqp forms,0.38
past aux forms,0.06
futur 1 forms,0.0
futur 2 forms,0.28
all futur forms,0.06
subj 1 forms,0.04
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.04
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.14
superlative,0.04
comp+superlative,0.18
conjunctions,0.48
subjunctions,0.22
relative clauses,0.42
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.14
question words,0.34
question marks,0.06
subj/pred inversions,0.56
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,176.28
concessive,21.9
conditional,322.36
consecutive,8.12
final,22.48
interrogative,10.66
modal,72.68
other,362.96
temporal,299.86
A1 features,8
A1 features summed,1.68
A2 features,8
A2 features summed,508.66
B1 features,5
B1 features summed,340.96000000000004
level features (all),45
level features (all) summed,51.52000000000004
