Feature,Value
words per sent,12.56
LIX,37.082292993630574
# words,628
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5741176470588235
adjectives,1.56
nouns,2.28
verbs,1.82
pronouns,2.34
particles,2.24
punctuation marks,2.08
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.06
aux verbs,0.22
full verbs,1.54
split verbs,0.12
nominative,1.02
accusative,0.62
dative,0.36
genitive,0.2
gen modifiers,0.16
prep with gen,0.0
all genitives,0.16
accusative obj,0.52
dative obj,0.02
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.54
gen+prep obj,0.1
present forms,1.36
past forms,0.02
perfect forms,0.02
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.02
all futur forms,0.02
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.1
subjunctions,0.06
relative clauses,0.04
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.04
question words,0.02
question marks,0.0
subj/pred inversions,0.28
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,193.8
concessive,25.0
conditional,349.64
consecutive,8.3
final,25.6
interrogative,11.24
modal,80.64
other,409.96
temporal,330.18
A1 features,7
A1 features summed,0.38000000000000006
A2 features,7
A2 features summed,552.0399999999998
B1 features,5
B1 features summed,374.76000000000005
level features (all),34
level features (all) summed,20.079999999999995
