Feature,Value
words per sent,17.96
LIX,37.781826280623605
# words,898
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5246212121212122
adjectives,1.76
nouns,2.76
verbs,2.72
pronouns,3.88
particles,4.04
punctuation marks,2.74
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.36
aux verbs,0.38
full verbs,1.9
split verbs,0.1
nominative,0.92
accusative,1.02
dative,0.86
genitive,0.12
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.9
dative obj,0.16
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.06
gen+prep obj,0.2
present forms,0.88
past forms,0.86
perfect forms,0.0
pqp forms,0.02
perfect+pqp forms,0.04
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.02
all futur forms,0.0
subj 1 forms,0.04
subj 2 forms,0.02
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.02
passive with agens,0.0
comparative,0.04
superlative,0.02
comp+superlative,0.06
conjunctions,0.16
subjunctions,0.22
relative clauses,0.18
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.24
question words,0.1
question marks,0.08
subj/pred inversions,0.56
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,192.98
concessive,24.76
conditional,347.66
consecutive,8.14
final,25.36
interrogative,11.24
modal,80.54
other,407.16
temporal,329.14
A1 features,6
A1 features summed,1.04
A2 features,9
A2 features summed,550.18
B1 features,6
B1 features summed,373.47999999999996
level features (all),44
level features (all) summed,30.039999999999985
