Feature,Value
words per sent,13.18
LIX,28.506251896813353
# words,659
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4973544973544973
adjectives,0.92
nouns,1.62
verbs,2.4
pronouns,2.72
particles,3.16
punctuation marks,2.32
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.36
full verbs,1.82
split verbs,0.1
nominative,0.56
accusative,0.8
dative,0.42
genitive,0.02
gen modifiers,0.02
prep with gen,0.0
all genitives,0.02
accusative obj,0.58
dative obj,0.08
genitive obj,0.0
prepositional obj,0.06
acc+dat obj,0.66
gen+prep obj,0.06
present forms,1.4
past forms,0.16
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.02
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.04
subj 2 forms,0.04
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.08
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.24
subjunctions,0.1
relative clauses,0.02
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.12
question words,0.1
question marks,0.0
subj/pred inversions,0.42
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,195.86
concessive,25.56
conditional,354.3
consecutive,8.64
final,25.94
interrogative,11.28
modal,80.78
other,415.82
temporal,332.02
A1 features,6
A1 features summed,0.8
A2 features,8
A2 features summed,559.14
B1 features,5
B1 features summed,377.52
level features (all),37
level features (all) summed,21.73999999999999
