Feature,Value
words per sent,34.62
LIX,62.98510687463893
# words,1731
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5257425742574258
adjectives,3.52
nouns,6.52
verbs,4.46
pronouns,6.96
particles,8.78
punctuation marks,4.26
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.26
aux verbs,1.02
full verbs,3.0
split verbs,0.16
nominative,1.6
accusative,1.88
dative,1.96
genitive,0.62
gen modifiers,0.58
prep with gen,0.02
all genitives,0.6
accusative obj,1.48
dative obj,0.26
genitive obj,0.0
prepositional obj,0.24
acc+dat obj,1.74
gen+prep obj,0.24
present forms,1.72
past forms,0.64
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.12
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.1
subj 2 aux forms,0.1
ind speech,0.02
irrealis mode,0.0
all subj forms,0.3
imperatives,0.0
passive voice,0.1
passive with agens,0.04
comparative,0.28
superlative,0.1
comp+superlative,0.38
conjunctions,0.3
subjunctions,0.26
relative clauses,0.6
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.38
question words,0.08
question marks,0.0
subj/pred inversions,0.52
placeholder 'es',0.06
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,193.74
concessive,25.0
conditional,349.56
consecutive,8.3
final,25.58
interrogative,11.24
modal,80.62
other,409.74
temporal,330.16
A1 features,6
A1 features summed,1.28
A2 features,9
A2 features summed,553.7
B1 features,7
B1 features summed,375.4400000000001
level features (all),46
level features (all) summed,56.60000000000002
