Feature,Value
words per sent,16.88
LIX,37.97004739336493
# words,844
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5404339250493096
adjectives,1.6
nouns,3.64
verbs,2.14
pronouns,3.46
particles,3.92
punctuation marks,2.0
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.04
aux verbs,0.42
full verbs,1.68
split verbs,0.12
nominative,1.08
accusative,1.0
dative,0.96
genitive,0.4
gen modifiers,0.28
prep with gen,0.02
all genitives,0.32
accusative obj,0.72
dative obj,0.22
genitive obj,0.02
prepositional obj,0.1
acc+dat obj,0.94
gen+prep obj,0.12
present forms,0.24
past forms,0.96
perfect forms,0.04
pqp forms,0.08
perfect+pqp forms,0.22
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.12
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.06
passive with agens,0.0
comparative,0.08
superlative,0.02
comp+superlative,0.1
conjunctions,0.3
subjunctions,0.0
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.14
question words,0.12
question marks,0.06
subj/pred inversions,0.38
placeholder 'es',0.0
'brauchen' constr,0.02
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.02
causal,195.94
concessive,25.56
conditional,354.52
consecutive,8.68
final,25.96
interrogative,11.28
modal,80.8
other,416.32
temporal,332.16
A1 features,7
A1 features summed,0.8200000000000001
A2 features,8
A2 features summed,560.7799999999999
B1 features,7
B1 features summed,377.96000000000004
level features (all),41
level features (all) summed,28.359999999999996
