Feature,Value
words per sent,18.96
LIX,42.37772151898734
# words,948
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5326278659611993
adjectives,2.02
nouns,3.38
verbs,2.86
pronouns,3.48
particles,4.44
punctuation marks,2.58
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.22
aux verbs,0.62
full verbs,1.94
split verbs,0.12
nominative,1.1
accusative,1.08
dative,1.06
genitive,0.22
gen modifiers,0.16
prep with gen,0.02
all genitives,0.18
accusative obj,0.74
dative obj,0.2
genitive obj,0.0
prepositional obj,0.12
acc+dat obj,0.94
gen+prep obj,0.12
present forms,0.54
past forms,0.78
perfect forms,0.12
pqp forms,0.06
perfect+pqp forms,0.14
past aux forms,0.04
futur 1 forms,0.02
futur 2 forms,0.18
all futur forms,0.06
subj 1 forms,0.0
subj 2 forms,0.04
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.04
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.12
superlative,0.04
comp+superlative,0.16
conjunctions,0.32
subjunctions,0.04
relative clauses,0.36
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.34
question words,0.04
question marks,0.04
subj/pred inversions,0.38
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,196.04
concessive,25.64
conditional,354.84
consecutive,8.72
final,26.02
interrogative,11.32
modal,80.86
other,416.7
temporal,332.24
A1 features,8
A1 features summed,1.2400000000000002
A2 features,9
A2 features summed,560.9999999999999
B1 features,5
B1 features summed,378.28000000000003
level features (all),46
level features (all) summed,31.55999999999999
