Feature,Value
words per sent,6.64
LIX,22.603855421686745
# words,332
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.44
adjectives,0.54
nouns,1.54
verbs,0.8
pronouns,1.08
particles,1.26
punctuation marks,1.42
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.04
aux verbs,0.24
full verbs,0.52
split verbs,0.0
nominative,0.28
accusative,0.18
dative,0.2
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.16
dative obj,0.06
genitive obj,0.0
prepositional obj,0.02
acc+dat obj,0.22
gen+prep obj,0.02
present forms,0.38
past forms,0.02
perfect forms,0.06
pqp forms,0.02
perfect+pqp forms,0.02
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.02
comp+superlative,0.04
conjunctions,0.02
subjunctions,0.08
relative clauses,0.02
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.06
question words,0.08
question marks,0.12
subj/pred inversions,0.16
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,116.56
concessive,13.58
conditional,233.82
consecutive,7.62
final,15.58
interrogative,7.36
modal,56.52
other,273.44
temporal,228.06
A1 features,6
A1 features summed,0.38
A2 features,7
A2 features summed,358.12
B1 features,5
B1 features summed,256.64
level features (all),35
level features (all) summed,9.819999999999997
