Feature,Value
words per sent,16.98
LIX,30.40756183745583
# words,849
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5337552742616034
adjectives,0.96
nouns,1.94
verbs,2.78
pronouns,4.38
particles,3.98
punctuation marks,2.86
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.62
full verbs,1.98
split verbs,0.22
nominative,0.3
accusative,1.0
dative,0.82
genitive,0.12
gen modifiers,0.1
prep with gen,0.0
all genitives,0.12
accusative obj,0.86
dative obj,0.14
genitive obj,0.02
prepositional obj,0.08
acc+dat obj,1.0
gen+prep obj,0.1
present forms,0.44
past forms,0.96
perfect forms,0.1
pqp forms,0.12
perfect+pqp forms,0.26
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.22
all futur forms,0.02
subj 1 forms,0.0
subj 2 forms,0.04
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.02
all subj forms,0.04
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.22
subjunctions,0.06
relative clauses,0.18
participial clauses pres,0.02
participial clauses past,0.02
all participial clauses,0.04
negations,0.12
question words,0.18
question marks,0.1
subj/pred inversions,0.62
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,118.18
concessive,13.82
conditional,238.02
consecutive,7.62
final,15.68
interrogative,7.62
modal,56.74
other,278.6
temporal,230.92
A1 features,8
A1 features summed,1.06
A2 features,8
A2 features summed,365.12000000000006
B1 features,6
B1 features summed,260.18
level features (all),46
level features (all) summed,28.360000000000003
