Feature,Value
words per sent,12.16
LIX,23.673157894736843
# words,608
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.41778975741239893
adjectives,0.68
nouns,1.88
verbs,1.72
pronouns,2.56
particles,2.5
punctuation marks,2.78
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.06
aux verbs,0.82
full verbs,0.8
split verbs,0.06
nominative,0.38
accusative,0.48
dative,0.38
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.46
dative obj,0.14
genitive obj,0.0
prepositional obj,0.04
acc+dat obj,0.6
gen+prep obj,0.04
present forms,1.16
past forms,0.0
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.0
comp+superlative,0.04
conjunctions,0.04
subjunctions,0.06
relative clauses,0.02
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.18
question words,0.18
question marks,0.2
subj/pred inversions,0.36
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,117.72
concessive,13.8
conditional,237.28
consecutive,7.62
final,15.66
interrogative,7.56
modal,56.72
other,277.58
temporal,230.28
A1 features,8
A1 features summed,0.8400000000000002
A2 features,6
A2 features summed,362.84000000000003
B1 features,5
B1 features summed,259.28
level features (all),31
level features (all) summed,18.88
