Feature,Value
words per sent,13.18
LIX,26.685311077389983
# words,659
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5126760563380282
adjectives,0.42
nouns,1.7
verbs,2.1
pronouns,3.16
particles,3.34
punctuation marks,2.42
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.14
aux verbs,0.36
full verbs,1.6
split verbs,0.08
nominative,0.42
accusative,0.66
dative,0.78
genitive,0.04
gen modifiers,0.04
prep with gen,0.0
all genitives,0.04
accusative obj,0.52
dative obj,0.12
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.64
gen+prep obj,0.1
present forms,0.32
past forms,0.82
perfect forms,0.04
pqp forms,0.06
perfect+pqp forms,0.24
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.02
subj 1 forms,0.0
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.08
superlative,0.0
comp+superlative,0.08
conjunctions,0.22
subjunctions,0.12
relative clauses,0.14
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.18
question words,0.12
question marks,0.1
subj/pred inversions,0.4
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,116.56
concessive,13.58
conditional,233.82
consecutive,7.62
final,15.58
interrogative,7.36
modal,56.5
other,273.38
temporal,228.06
A1 features,8
A1 features summed,0.9000000000000001
A2 features,8
A2 features summed,359.16
B1 features,5
B1 features summed,256.76
level features (all),45
level features (all) summed,22.019999999999992
