Feature,Value
words per sent,23.84
LIX,39.863489932885905
# words,1192
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4444444444444444
adjectives,1.82
nouns,2.58
verbs,3.52
pronouns,5.88
particles,5.0
punctuation marks,5.0
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.28
aux verbs,0.62
full verbs,2.54
split verbs,0.3
nominative,0.56
accusative,1.34
dative,1.2
genitive,0.08
gen modifiers,0.08
prep with gen,0.0
all genitives,0.08
accusative obj,1.06
dative obj,0.4
genitive obj,0.0
prepositional obj,0.18
acc+dat obj,1.46
gen+prep obj,0.18
present forms,0.36
past forms,1.62
perfect forms,0.04
pqp forms,0.04
perfect+pqp forms,0.16
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.12
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.16
superlative,0.0
comp+superlative,0.16
conjunctions,0.2
subjunctions,0.14
relative clauses,0.28
participial clauses pres,0.04
participial clauses past,0.04
all participial clauses,0.08
negations,0.16
question words,0.24
question marks,0.02
subj/pred inversions,0.8
placeholder 'es',0.08
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,115.3
concessive,13.32
conditional,229.66
consecutive,7.62
final,15.44
interrogative,7.12
modal,56.32
other,267.74
temporal,225.16
A1 features,8
A1 features summed,1.26
A2 features,8
A2 features summed,355.02
B1 features,5
B1 features summed,253.5
level features (all),44
level features (all) summed,39.11999999999998
