Feature,Value
words per sent,13.6
LIX,33.15882352941176
# words,680
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5204081632653061
adjectives,0.98
nouns,1.82
verbs,2.14
pronouns,3.06
particles,3.14
punctuation marks,2.32
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.04
aux verbs,0.7
full verbs,1.4
split verbs,0.1
nominative,0.52
accusative,0.9
dative,0.62
genitive,0.02
gen modifiers,0.02
prep with gen,0.0
all genitives,0.02
accusative obj,0.56
dative obj,0.12
genitive obj,0.0
prepositional obj,0.16
acc+dat obj,0.68
gen+prep obj,0.16
present forms,0.06
past forms,0.6
perfect forms,0.0
pqp forms,0.16
perfect+pqp forms,0.5
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.16
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.02
all subj forms,0.02
imperatives,0.0
passive voice,0.02
passive with agens,0.0
comparative,0.06
superlative,0.0
comp+superlative,0.06
conjunctions,0.1
subjunctions,0.12
relative clauses,0.12
participial clauses pres,0.02
participial clauses past,0.04
all participial clauses,0.06
negations,0.1
question words,0.26
question marks,0.16
subj/pred inversions,0.48
placeholder 'es',0.02
'brauchen' constr,0.02
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.02
causal,115.8
concessive,13.44
conditional,231.34
consecutive,7.62
final,15.5
interrogative,7.26
modal,56.36
other,269.94
temporal,226.26
A1 features,6
A1 features summed,0.76
A2 features,8
A2 features summed,355.71999999999997
B1 features,6
B1 features summed,254.72
level features (all),45
level features (all) summed,22.679999999999996
