Feature,Value
words per sent,6.86
LIX,23.769620991253642
# words,343
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4063926940639269
adjectives,0.32
nouns,1.1
verbs,1.0
pronouns,1.6
particles,1.12
punctuation marks,1.72
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.02
aux verbs,0.28
full verbs,0.58
split verbs,0.02
nominative,0.12
accusative,0.38
dative,0.2
genitive,0.02
gen modifiers,0.02
prep with gen,0.0
all genitives,0.02
accusative obj,0.34
dative obj,0.14
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.48
gen+prep obj,0.0
present forms,0.44
past forms,0.06
perfect forms,0.04
pqp forms,0.0
perfect+pqp forms,0.06
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.04
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.06
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.06
subjunctions,0.02
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.26
question words,0.08
question marks,0.06
subj/pred inversions,0.1
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,116.28
concessive,13.52
conditional,232.72
consecutive,7.62
final,15.54
interrogative,7.32
modal,56.44
other,271.92
temporal,227.22
A1 features,8
A1 features summed,0.6000000000000001
A2 features,7
A2 features summed,356.86
B1 features,5
B1 features summed,255.78
level features (all),37
level features (all) summed,10.959999999999996
