Feature,Value
words per sent,21.28
LIX,36.59954887218045
# words,1064
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4457831325301205
adjectives,1.2
nouns,3.24
verbs,3.4
pronouns,5.64
particles,4.66
punctuation marks,3.14
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,0.92
full verbs,2.26
split verbs,0.08
nominative,0.7
accusative,1.66
dative,1.18
genitive,0.32
gen modifiers,0.24
prep with gen,0.0
all genitives,0.26
accusative obj,1.26
dative obj,0.46
genitive obj,0.02
prepositional obj,0.24
acc+dat obj,1.72
gen+prep obj,0.26
present forms,0.96
past forms,0.7
perfect forms,0.24
pqp forms,0.04
perfect+pqp forms,0.08
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.28
all futur forms,0.0
subj 1 forms,0.22
subj 2 forms,0.02
subj 2 aux forms,0.06
ind speech,0.0
irrealis mode,0.02
all subj forms,0.3
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.08
superlative,0.08
comp+superlative,0.16
conjunctions,0.28
subjunctions,0.18
relative clauses,0.22
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.18
question words,0.18
question marks,0.0
subj/pred inversions,0.56
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,63.74
concessive,6.54
conditional,119.32
consecutive,0.56
final,9.42
interrogative,3.64
modal,33.88
other,155.84
temporal,124.74
A1 features,6
A1 features summed,1.12
A2 features,9
A2 features summed,185.4
B1 features,6
B1 features summed,135.72
level features (all),45
level features (all) summed,37.94000000000001
