Feature,Value
words per sent,24.92
LIX,40.65033707865169
# words,1246
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4556786703601108
adjectives,1.24
nouns,4.64
verbs,4.1
pronouns,5.86
particles,5.2
punctuation marks,3.86
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.34
aux verbs,0.72
full verbs,3.0
split verbs,0.14
nominative,1.36
accusative,1.84
dative,1.48
genitive,0.28
gen modifiers,0.18
prep with gen,0.0
all genitives,0.2
accusative obj,1.38
dative obj,0.48
genitive obj,0.02
prepositional obj,0.44
acc+dat obj,1.86
gen+prep obj,0.46
present forms,0.64
past forms,1.5
perfect forms,0.02
pqp forms,0.08
perfect+pqp forms,0.22
past aux forms,0.06
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.06
subj 1 forms,0.08
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.04
irrealis mode,0.0
all subj forms,0.1
imperatives,0.02
passive voice,0.06
passive with agens,0.02
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.52
subjunctions,0.26
relative clauses,0.16
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.22
question words,0.1
question marks,0.0
subj/pred inversions,0.84
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,64.42
concessive,6.7
conditional,120.64
consecutive,1.28
final,9.68
interrogative,3.74
modal,34.18
other,158.86
temporal,126.88
A1 features,8
A1 features summed,1.4200000000000002
A2 features,7
A2 features summed,188.94000000000003
B1 features,8
B1 features summed,138.86
level features (all),46
level features (all) summed,44.30000000000002
