Feature,Value
words per sent,33.78
LIX,52.96294849023091
# words,1689
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5051975051975052
adjectives,2.26
nouns,6.66
verbs,5.22
pronouns,8.26
particles,6.7
punctuation marks,4.68
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.12
aux verbs,1.28
full verbs,3.8
split verbs,0.32
nominative,1.5
accusative,2.52
dative,2.26
genitive,0.94
gen modifiers,0.74
prep with gen,0.04
all genitives,0.82
accusative obj,1.9
dative obj,0.6
genitive obj,0.04
prepositional obj,0.44
acc+dat obj,2.5
gen+prep obj,0.48
present forms,0.32
past forms,1.48
perfect forms,0.26
pqp forms,0.4
perfect+pqp forms,0.48
past aux forms,0.08
futur 1 forms,0.0
futur 2 forms,0.66
all futur forms,0.08
subj 1 forms,0.08
subj 2 forms,0.0
subj 2 aux forms,0.06
ind speech,0.0
irrealis mode,0.0
all subj forms,0.14
imperatives,0.02
passive voice,0.04
passive with agens,0.0
comparative,0.02
superlative,0.08
comp+superlative,0.1
conjunctions,0.48
subjunctions,0.32
relative clauses,1.0
participial clauses pres,0.0
participial clauses past,0.08
all participial clauses,0.08
negations,0.22
question words,0.18
question marks,0.06
subj/pred inversions,0.9
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,63.66
concessive,6.5
conditional,118.92
consecutive,0.44
final,9.4
interrogative,3.64
modal,33.82
other,155.46
temporal,124.46
A1 features,9
A1 features summed,1.74
A2 features,9
A2 features summed,186.36
B1 features,7
B1 features summed,136.11999999999998
level features (all),51
level features (all) summed,61.759999999999984
