Feature,Value
words per sent,28.08
LIX,50.51589743589743
# words,1404
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5433455433455433
adjectives,2.14
nouns,5.66
verbs,4.1
pronouns,6.42
particles,5.96
punctuation marks,3.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.12
aux verbs,0.82
full verbs,3.1
split verbs,0.2
nominative,1.42
accusative,1.96
dative,1.52
genitive,0.72
gen modifiers,0.6
prep with gen,0.02
all genitives,0.66
accusative obj,1.44
dative obj,0.34
genitive obj,0.04
prepositional obj,0.2
acc+dat obj,1.78
gen+prep obj,0.24
present forms,0.28
past forms,1.6
perfect forms,0.02
pqp forms,0.2
perfect+pqp forms,0.46
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.22
all futur forms,0.0
subj 1 forms,0.08
subj 2 forms,0.06
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.18
imperatives,0.0
passive voice,0.06
passive with agens,0.0
comparative,0.1
superlative,0.04
comp+superlative,0.14
conjunctions,0.62
subjunctions,0.34
relative clauses,0.42
participial clauses pres,0.02
participial clauses past,0.12
all participial clauses,0.14
negations,0.06
question words,0.12
question marks,0.0
subj/pred inversions,0.9
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,63.9
concessive,6.54
conditional,119.48
consecutive,0.66
final,9.46
interrogative,3.66
modal,33.94
other,156.32
temporal,125.0
A1 features,6
A1 features summed,1.1400000000000001
A2 features,9
A2 features summed,186.92
B1 features,7
B1 features summed,136.38
level features (all),46
level features (all) summed,49.38000000000003
