Feature,Value
words per sent,35.66
LIX,56.63588334268087
# words,1783
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4777251184834123
adjectives,1.66
nouns,7.88
verbs,4.72
pronouns,8.76
particles,7.2
punctuation marks,5.32
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.18
aux verbs,0.6
full verbs,3.92
split verbs,0.48
nominative,2.02
accusative,2.58
dative,2.5
genitive,0.84
gen modifiers,0.68
prep with gen,0.06
all genitives,0.74
accusative obj,1.88
dative obj,0.82
genitive obj,0.0
prepositional obj,0.28
acc+dat obj,2.7
gen+prep obj,0.28
present forms,0.74
past forms,2.16
perfect forms,0.04
pqp forms,0.16
perfect+pqp forms,0.26
past aux forms,0.06
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.06
subj 1 forms,0.08
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.02
all subj forms,0.1
imperatives,0.02
passive voice,0.04
passive with agens,0.02
comparative,0.04
superlative,0.02
comp+superlative,0.06
conjunctions,0.58
subjunctions,0.22
relative clauses,0.56
participial clauses pres,0.04
participial clauses past,0.08
all participial clauses,0.12
negations,0.16
question words,0.2
question marks,0.04
subj/pred inversions,1.02
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,65.46
concessive,7.14
conditional,122.84
consecutive,2.16
final,10.1
interrogative,3.92
modal,34.74
other,164.5
temporal,130.44
A1 features,9
A1 features summed,1.76
A2 features,8
A2 features summed,194.44
B1 features,7
B1 features summed,144.28
level features (all),51
level features (all) summed,63.24000000000003
