Feature,Value
words per sent,24.5
LIX,43.8469387755102
# words,1225
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5582386363636364
adjectives,1.48
nouns,5.06
verbs,3.32
pronouns,5.9
particles,5.42
punctuation marks,3.28
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.08
aux verbs,0.46
full verbs,2.78
split verbs,0.28
nominative,1.06
accusative,2.12
dative,1.7
genitive,0.42
gen modifiers,0.34
prep with gen,0.02
all genitives,0.36
accusative obj,1.62
dative obj,0.56
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,2.18
gen+prep obj,0.2
present forms,0.22
past forms,1.54
perfect forms,0.14
pqp forms,0.08
perfect+pqp forms,0.1
past aux forms,0.06
futur 1 forms,0.0
futur 2 forms,0.22
all futur forms,0.06
subj 1 forms,0.12
subj 2 forms,0.04
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.02
all subj forms,0.2
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.58
subjunctions,0.16
relative clauses,0.14
participial clauses pres,0.02
participial clauses past,0.02
all participial clauses,0.04
negations,0.14
question words,0.12
question marks,0.04
subj/pred inversions,0.88
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,64.82
concessive,6.9
conditional,121.56
consecutive,1.7
final,9.84
interrogative,3.82
modal,34.42
other,161.68
temporal,128.26
A1 features,9
A1 features summed,1.4800000000000004
A2 features,8
A2 features summed,190.76
B1 features,5
B1 features summed,140.81999999999996
level features (all),48
level features (all) summed,43.90000000000003
