Feature,Value
words per sent,29.8
LIX,52.350335570469795
# words,1490
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5565610859728507
adjectives,1.84
nouns,6.16
verbs,4.58
pronouns,7.38
particles,5.68
punctuation marks,4.16
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.18
aux verbs,0.74
full verbs,3.58
split verbs,0.22
nominative,1.2
accusative,2.54
dative,1.78
genitive,0.94
gen modifiers,0.76
prep with gen,0.04
all genitives,0.8
accusative obj,1.92
dative obj,0.52
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,2.44
gen+prep obj,0.2
present forms,0.82
past forms,1.26
perfect forms,0.28
pqp forms,0.1
perfect+pqp forms,0.12
past aux forms,0.06
futur 1 forms,0.0
futur 2 forms,0.38
all futur forms,0.06
subj 1 forms,0.22
subj 2 forms,0.06
subj 2 aux forms,0.06
ind speech,0.02
irrealis mode,0.0
all subj forms,0.34
imperatives,0.02
passive voice,0.02
passive with agens,0.0
comparative,0.06
superlative,0.08
comp+superlative,0.14
conjunctions,0.6
subjunctions,0.16
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.18
all participial clauses,0.18
negations,0.3
question words,0.18
question marks,0.16
subj/pred inversions,0.84
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,64.28
concessive,6.7
conditional,120.32
consecutive,1.12
final,9.66
interrogative,3.72
modal,34.14
other,158.22
temporal,126.32
A1 features,9
A1 features summed,2.0
A2 features,9
A2 features summed,188.57999999999998
B1 features,6
B1 features summed,138.18
level features (all),50
level features (all) summed,54.88000000000002
