Feature,Value
words per sent,18.72
LIX,39.66017094017094
# words,936
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5172413793103449
adjectives,1.18
nouns,3.12
verbs,3.0
pronouns,4.76
particles,4.12
punctuation marks,2.46
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.28
aux verbs,0.52
full verbs,2.16
split verbs,0.2
nominative,0.68
accusative,1.48
dative,1.24
genitive,0.2
gen modifiers,0.16
prep with gen,0.0
all genitives,0.16
accusative obj,1.18
dative obj,0.42
genitive obj,0.0
prepositional obj,0.18
acc+dat obj,1.6
gen+prep obj,0.18
present forms,0.5
past forms,1.06
perfect forms,0.02
pqp forms,0.06
perfect+pqp forms,0.18
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.02
subj 1 forms,0.12
subj 2 forms,0.06
subj 2 aux forms,0.02
ind speech,0.04
irrealis mode,0.0
all subj forms,0.2
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.04
comp+superlative,0.04
conjunctions,0.42
subjunctions,0.06
relative clauses,0.14
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.36
question words,0.2
question marks,0.08
subj/pred inversions,0.68
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.04
'brauchen'+'lassen' constr,0.04
causal,68.06
concessive,7.72
conditional,127.5
consecutive,4.52
final,11.04
interrogative,4.08
modal,35.56
other,173.92
temporal,136.18
A1 features,9
A1 features summed,1.6
A2 features,8
A2 features summed,201.92000000000002
B1 features,5
B1 features summed,152.64
level features (all),49
level features (all) summed,33.86
