Feature,Value
words per sent,19.12
LIX,33.6597489539749
# words,956
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4178321678321678
adjectives,1.46
nouns,2.86
verbs,2.9
pronouns,3.84
particles,4.54
punctuation marks,3.52
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.06
aux verbs,0.58
full verbs,2.18
split verbs,0.38
nominative,0.96
accusative,1.12
dative,0.74
genitive,0.14
gen modifiers,0.12
prep with gen,0.0
all genitives,0.12
accusative obj,0.92
dative obj,0.12
genitive obj,0.0
prepositional obj,0.22
acc+dat obj,1.04
gen+prep obj,0.22
present forms,0.38
past forms,1.14
perfect forms,0.04
pqp forms,0.22
perfect+pqp forms,0.34
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.26
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.06
passive voice,0.0
passive with agens,0.0
comparative,0.06
superlative,0.0
comp+superlative,0.06
conjunctions,0.5
subjunctions,0.1
relative clauses,0.16
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.06
question words,0.08
question marks,0.04
subj/pred inversions,0.72
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,69.26
concessive,7.86
conditional,130.52
consecutive,4.94
final,11.48
interrogative,4.14
modal,35.82
other,176.82
temporal,138.94
A1 features,8
A1 features summed,1.2200000000000002
A2 features,8
A2 features summed,206.38000000000002
B1 features,5
B1 features summed,156.04
level features (all),42
level features (all) summed,32.36
