Feature,Value
words per sent,20.52
LIX,37.479064327485375
# words,1026
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5174216027874564
adjectives,1.48
nouns,3.2
verbs,3.24
pronouns,4.26
particles,5.1
punctuation marks,3.18
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.24
aux verbs,0.92
full verbs,2.0
split verbs,0.28
nominative,1.24
accusative,1.02
dative,0.92
genitive,0.12
gen modifiers,0.1
prep with gen,0.02
all genitives,0.12
accusative obj,0.74
dative obj,0.18
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.92
gen+prep obj,0.1
present forms,0.2
past forms,0.9
perfect forms,0.04
pqp forms,0.28
perfect+pqp forms,0.52
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.32
all futur forms,0.0
subj 1 forms,0.16
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.26
imperatives,0.02
passive voice,0.02
passive with agens,0.0
comparative,0.02
superlative,0.06
comp+superlative,0.08
conjunctions,0.4
subjunctions,0.14
relative clauses,0.22
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.28
question words,0.12
question marks,0.02
subj/pred inversions,0.84
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,70.02
concessive,7.92
conditional,133.34
consecutive,5.2
final,11.92
interrogative,4.16
modal,36.06
other,179.64
temporal,140.92
A1 features,8
A1 features summed,1.4000000000000001
A2 features,9
A2 features summed,209.95999999999998
B1 features,6
B1 features summed,158.44
level features (all),45
level features (all) summed,34.520000000000024
