Feature,Value
words per sent,18.92
LIX,32.7677801268499
# words,946
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.42434782608695654
adjectives,1.28
nouns,2.96
verbs,3.14
pronouns,3.66
particles,4.44
punctuation marks,3.36
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.28
aux verbs,0.78
full verbs,2.06
split verbs,0.26
nominative,0.86
accusative,1.2
dative,0.82
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.88
dative obj,0.22
genitive obj,0.0
prepositional obj,0.26
acc+dat obj,1.1
gen+prep obj,0.26
present forms,0.64
past forms,0.68
perfect forms,0.06
pqp forms,0.22
perfect+pqp forms,0.38
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.28
all futur forms,0.0
subj 1 forms,0.06
subj 2 forms,0.06
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.14
imperatives,0.0
passive voice,0.02
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.48
subjunctions,0.18
relative clauses,0.02
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.08
question words,0.26
question marks,0.04
subj/pred inversions,0.84
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,69.6
concessive,7.86
conditional,131.62
consecutive,5.02
final,11.66
interrogative,4.14
modal,35.88
other,177.96
temporal,139.68
A1 features,7
A1 features summed,1.4600000000000002
A2 features,9
A2 features summed,207.62000000000003
B1 features,6
B1 features summed,156.74000000000004
level features (all),43
level features (all) summed,32.82000000000001
