Feature,Value
words per sent,26.06
LIX,40.718480429777436
# words,1303
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4538690476190476
adjectives,1.48
nouns,3.54
verbs,4.0
pronouns,6.1
particles,7.5
punctuation marks,3.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,1.06
full verbs,2.52
split verbs,0.26
nominative,0.98
accusative,1.66
dative,1.08
genitive,0.2
gen modifiers,0.16
prep with gen,0.02
all genitives,0.18
accusative obj,1.3
dative obj,0.14
genitive obj,0.0
prepositional obj,0.24
acc+dat obj,1.44
gen+prep obj,0.24
present forms,0.16
past forms,1.32
perfect forms,0.0
pqp forms,0.32
perfect+pqp forms,0.74
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.32
all futur forms,0.0
subj 1 forms,0.14
subj 2 forms,0.06
subj 2 aux forms,0.08
ind speech,0.0
irrealis mode,0.0
all subj forms,0.28
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.0
comp+superlative,0.04
conjunctions,0.6
subjunctions,0.42
relative clauses,0.38
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.16
question words,0.14
question marks,0.0
subj/pred inversions,0.74
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,71.36
concessive,8.02
conditional,138.62
consecutive,5.74
final,12.56
interrogative,4.24
modal,36.76
other,184.18
temporal,144.5
A1 features,5
A1 features summed,1.4600000000000002
A2 features,9
A2 features summed,217.70000000000002
B1 features,5
B1 features summed,162.88
level features (all),41
level features (all) summed,43.580000000000005
