Feature,Value
words per sent,17.42
LIX,30.738025258323766
# words,871
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.44140625
adjectives,0.96
nouns,2.7
verbs,2.88
pronouns,3.24
particles,4.66
punctuation marks,2.98
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.22
aux verbs,0.74
full verbs,1.9
split verbs,0.3
nominative,0.94
accusative,0.92
dative,0.96
genitive,0.14
gen modifiers,0.12
prep with gen,0.02
all genitives,0.14
accusative obj,0.64
dative obj,0.1
genitive obj,0.0
prepositional obj,0.12
acc+dat obj,0.74
gen+prep obj,0.12
present forms,0.26
past forms,0.88
perfect forms,0.04
pqp forms,0.18
perfect+pqp forms,0.42
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.22
all futur forms,0.02
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.04
imperatives,0.08
passive voice,0.0
passive with agens,0.0
comparative,0.08
superlative,0.02
comp+superlative,0.1
conjunctions,0.3
subjunctions,0.06
relative clauses,0.04
participial clauses pres,0.0
participial clauses past,0.06
all participial clauses,0.06
negations,0.32
question words,0.18
question marks,0.04
subj/pred inversions,0.54
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,68.46
concessive,7.74
conditional,128.16
consecutive,4.62
final,11.12
interrogative,4.1
modal,35.58
other,174.76
temporal,137.0
A1 features,9
A1 features summed,1.5000000000000002
A2 features,9
A2 features summed,202.56000000000003
B1 features,5
B1 features summed,153.5
level features (all),47
level features (all) summed,29.579999999999995
