Feature,Value
words per sent,18.48
LIX,29.627186147186148
# words,924
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.3968871595330739
adjectives,0.68
nouns,2.62
verbs,3.48
pronouns,4.06
particles,4.48
punctuation marks,3.16
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.38
aux verbs,0.86
full verbs,2.12
split verbs,0.22
nominative,0.96
accusative,1.02
dative,0.84
genitive,0.18
gen modifiers,0.18
prep with gen,0.0
all genitives,0.18
accusative obj,0.86
dative obj,0.34
genitive obj,0.0
prepositional obj,0.26
acc+dat obj,1.2
gen+prep obj,0.26
present forms,0.7
past forms,1.06
perfect forms,0.08
pqp forms,0.12
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.06
subj 2 aux forms,0.06
ind speech,0.0
irrealis mode,0.0
all subj forms,0.22
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.52
subjunctions,0.16
relative clauses,0.04
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.24
question words,0.08
question marks,0.04
subj/pred inversions,0.88
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,68.82
concessive,7.76
conditional,129.04
consecutive,4.64
final,11.22
interrogative,4.1
modal,35.64
other,175.52
temporal,137.68
A1 features,7
A1 features summed,1.56
A2 features,9
A2 features summed,204.42
B1 features,5
B1 features summed,154.22
level features (all),43
level features (all) summed,33.199999999999996
