Feature,Value
words per sent,28.36
LIX,44.65055007052186
# words,1418
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5012531328320802
adjectives,1.82
nouns,4.14
verbs,4.06
pronouns,6.42
particles,7.14
punctuation marks,4.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,1.02
full verbs,2.76
split verbs,0.24
nominative,0.82
accusative,1.54
dative,1.52
genitive,0.3
gen modifiers,0.22
prep with gen,0.0
all genitives,0.26
accusative obj,1.1
dative obj,0.44
genitive obj,0.04
prepositional obj,0.18
acc+dat obj,1.54
gen+prep obj,0.22
present forms,0.54
past forms,1.12
perfect forms,0.14
pqp forms,0.08
perfect+pqp forms,0.3
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.22
all futur forms,0.02
subj 1 forms,0.22
subj 2 forms,0.02
subj 2 aux forms,0.06
ind speech,0.0
irrealis mode,0.0
all subj forms,0.3
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.08
superlative,0.0
comp+superlative,0.08
conjunctions,0.3
subjunctions,0.24
relative clauses,0.1
participial clauses pres,0.04
participial clauses past,0.16
all participial clauses,0.2
negations,0.38
question words,0.24
question marks,0.08
subj/pred inversions,1.08
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,13.08
concessive,1.38
conditional,18.62
consecutive,0.02
final,0.98
interrogative,1.0
modal,10.12
other,24.3
temporal,18.74
A1 features,8
A1 features summed,1.56
A2 features,9
A2 features summed,33.82000000000001
B1 features,6
B1 features summed,21.28
level features (all),47
level features (all) summed,46.69999999999999
