Feature,Value
words per sent,25.9
LIX,45.28223938223938
# words,1295
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5300261096605744
adjectives,2.36
nouns,4.1
verbs,3.88
pronouns,5.66
particles,5.92
punctuation marks,3.96
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.22
aux verbs,0.76
full verbs,2.78
split verbs,0.26
nominative,1.04
accusative,1.72
dative,1.34
genitive,0.26
gen modifiers,0.2
prep with gen,0.02
all genitives,0.24
accusative obj,1.22
dative obj,0.26
genitive obj,0.02
prepositional obj,0.36
acc+dat obj,1.48
gen+prep obj,0.38
present forms,0.2
past forms,1.34
perfect forms,0.02
pqp forms,0.24
perfect+pqp forms,0.42
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.26
all futur forms,0.0
subj 1 forms,0.14
subj 2 forms,0.0
subj 2 aux forms,0.06
ind speech,0.02
irrealis mode,0.0
all subj forms,0.2
imperatives,0.02
passive voice,0.02
passive with agens,0.0
comparative,0.06
superlative,0.04
comp+superlative,0.1
conjunctions,0.24
subjunctions,0.16
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.22
question words,0.16
question marks,0.02
subj/pred inversions,0.78
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,16.06
concessive,1.8
conditional,22.04
consecutive,0.02
final,1.24
interrogative,1.08
modal,12.1
other,31.48
temporal,25.18
A1 features,8
A1 features summed,1.1600000000000001
A2 features,9
A2 features summed,40.400000000000006
B1 features,7
B1 features summed,28.42
level features (all),48
level features (all) summed,43.56000000000004
