Feature,Value
words per sent,28.0
LIX,42.785714285714285
# words,1400
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.49014778325123154
adjectives,1.44
nouns,4.82
verbs,4.3
pronouns,6.4
particles,6.06
punctuation marks,4.94
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.12
aux verbs,1.18
full verbs,2.9
split verbs,0.12
nominative,1.56
accusative,1.5
dative,1.7
genitive,0.32
gen modifiers,0.12
prep with gen,0.06
all genitives,0.2
accusative obj,1.16
dative obj,0.18
genitive obj,0.02
prepositional obj,0.16
acc+dat obj,1.34
gen+prep obj,0.18
present forms,0.58
past forms,1.08
perfect forms,0.14
pqp forms,0.18
perfect+pqp forms,0.5
past aux forms,0.04
futur 1 forms,0.0
futur 2 forms,0.32
all futur forms,0.04
subj 1 forms,0.3
subj 2 forms,0.04
subj 2 aux forms,0.1
ind speech,0.02
irrealis mode,0.0
all subj forms,0.44
imperatives,0.0
passive voice,0.02
passive with agens,0.0
comparative,0.06
superlative,0.0
comp+superlative,0.06
conjunctions,0.4
subjunctions,0.04
relative clauses,0.28
participial clauses pres,0.02
participial clauses past,0.1
all participial clauses,0.12
negations,0.2
question words,0.32
question marks,0.12
subj/pred inversions,1.06
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,11.74
concessive,1.24
conditional,17.02
consecutive,0.02
final,0.84
interrogative,0.96
modal,9.0
other,21.26
temporal,15.84
A1 features,8
A1 features summed,1.4600000000000004
A2 features,9
A2 features summed,30.480000000000004
B1 features,7
B1 features summed,18.38
level features (all),50
level features (all) summed,47.38000000000002
