Feature,Value
words per sent,18.34
LIX,31.535201744820064
# words,917
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.49911504424778763
adjectives,1.14
nouns,3.2
verbs,2.66
pronouns,4.18
particles,3.2
punctuation marks,3.96
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.08
aux verbs,0.54
full verbs,2.0
split verbs,0.14
nominative,1.1
accusative,1.04
dative,0.68
genitive,0.3
gen modifiers,0.18
prep with gen,0.08
all genitives,0.26
accusative obj,0.78
dative obj,0.2
genitive obj,0.0
prepositional obj,0.14
acc+dat obj,0.98
gen+prep obj,0.14
present forms,0.22
past forms,1.26
perfect forms,0.02
pqp forms,0.08
perfect+pqp forms,0.28
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.02
subj 1 forms,0.08
subj 2 forms,0.0
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.12
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.02
comp+superlative,0.04
conjunctions,0.2
subjunctions,0.04
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.24
question words,0.18
question marks,0.1
subj/pred inversions,0.8
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,9.2
concessive,0.74
conditional,13.06
consecutive,0.0
final,0.5
interrogative,0.84
modal,6.98
other,14.26
temporal,9.98
A1 features,9
A1 features summed,1.0
A2 features,8
A2 features summed,24.1
B1 features,4
B1 features summed,11.66
level features (all),46
level features (all) summed,31.059999999999995
