Feature,Value
words per sent,22.7
LIX,35.03480176211454
# words,1135
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.417027417027417
adjectives,1.2
nouns,3.6
verbs,3.3
pronouns,4.64
particles,5.08
punctuation marks,4.78
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.18
aux verbs,0.74
full verbs,2.22
split verbs,0.14
nominative,1.32
accusative,1.32
dative,0.98
genitive,0.04
gen modifiers,0.04
prep with gen,0.0
all genitives,0.04
accusative obj,0.98
dative obj,0.22
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.2
gen+prep obj,0.2
present forms,0.76
past forms,0.86
perfect forms,0.08
pqp forms,0.18
perfect+pqp forms,0.28
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.26
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.06
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.08
imperatives,0.06
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.24
subjunctions,0.06
relative clauses,0.06
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.28
question words,0.2
question marks,0.12
subj/pred inversions,0.68
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,9.48
concessive,0.82
conditional,13.72
consecutive,0.02
final,0.54
interrogative,0.86
modal,7.5
other,15.62
temporal,11.22
A1 features,8
A1 features summed,1.3000000000000003
A2 features,8
A2 features summed,24.56
B1 features,5
B1 features summed,12.98
level features (all),43
level features (all) summed,36.800000000000026
