Feature,Value
words per sent,28.24
LIX,42.19184135977337
# words,1412
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4526699029126214
adjectives,1.62
nouns,4.62
verbs,3.74
pronouns,5.88
particles,7.08
punctuation marks,5.24
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.06
aux verbs,1.32
full verbs,2.3
split verbs,0.08
nominative,1.34
accusative,1.34
dative,1.5
genitive,0.38
gen modifiers,0.32
prep with gen,0.04
all genitives,0.38
accusative obj,0.96
dative obj,0.38
genitive obj,0.02
prepositional obj,0.3
acc+dat obj,1.34
gen+prep obj,0.32
present forms,0.54
past forms,0.92
perfect forms,0.08
pqp forms,0.22
perfect+pqp forms,0.46
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.0
subj 1 forms,0.26
subj 2 forms,0.08
subj 2 aux forms,0.18
ind speech,0.04
irrealis mode,0.0
all subj forms,0.52
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.06
comp+superlative,0.06
conjunctions,0.32
subjunctions,0.18
relative clauses,0.34
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.1
question words,0.14
question marks,0.0
subj/pred inversions,1.02
placeholder 'es',0.06
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,10.64
concessive,0.98
conditional,15.6
consecutive,0.02
final,0.76
interrogative,0.94
modal,8.38
other,18.62
temporal,13.76
A1 features,7
A1 features summed,0.7999999999999999
A2 features,8
A2 features summed,28.36
B1 features,6
B1 features summed,16.06
level features (all),46
level features (all) summed,46.500000000000036
