Feature,Value
words per sent,27.6
LIX,45.71594202898551
# words,1380
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.565989847715736
adjectives,2.08
nouns,4.94
verbs,4.18
pronouns,6.26
particles,6.5
punctuation marks,3.62
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,0.54
full verbs,3.42
split verbs,0.36
nominative,1.36
accusative,2.02
dative,1.52
genitive,0.26
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,1.46
dative obj,0.3
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.76
gen+prep obj,0.2
present forms,0.42
past forms,2.14
perfect forms,0.04
pqp forms,0.12
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.16
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.02
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.16
imperatives,0.02
passive voice,0.02
passive with agens,0.02
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.88
subjunctions,0.2
relative clauses,0.86
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.1
question words,0.18
question marks,0.12
subj/pred inversions,0.8
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,17.98
concessive,2.1
conditional,25.66
consecutive,0.02
final,1.4
interrogative,1.22
modal,13.42
other,36.96
temporal,29.4
A1 features,8
A1 features summed,1.86
A2 features,8
A2 features summed,46.540000000000006
B1 features,7
B1 features summed,33.64
level features (all),46
level features (all) summed,48.28000000000003
