Feature,Value
words per sent,16.34
LIX,34.5774541003672
# words,817
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5047619047619047
adjectives,0.98
nouns,3.1
verbs,2.64
pronouns,3.64
particles,2.76
punctuation marks,3.22
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.12
aux verbs,0.74
full verbs,1.66
split verbs,0.14
nominative,0.88
accusative,0.98
dative,0.52
genitive,0.12
gen modifiers,0.12
prep with gen,0.0
all genitives,0.12
accusative obj,0.84
dative obj,0.28
genitive obj,0.0
prepositional obj,0.06
acc+dat obj,1.12
gen+prep obj,0.06
present forms,1.22
past forms,0.08
perfect forms,0.18
pqp forms,0.0
perfect+pqp forms,0.02
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.18
all futur forms,0.02
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.04
passive voice,0.02
passive with agens,0.0
comparative,0.0
superlative,0.06
comp+superlative,0.06
conjunctions,0.18
subjunctions,0.08
relative clauses,0.08
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.04
question words,0.16
question marks,0.24
subj/pred inversions,0.48
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,20.26
concessive,2.16
conditional,29.36
consecutive,0.02
final,1.82
interrogative,1.32
modal,13.94
other,41.98
temporal,31.8
A1 features,9
A1 features summed,1.12
A2 features,7
A2 features summed,50.18000000000001
B1 features,6
B1 features summed,35.4
level features (all),42
level features (all) summed,27.339999999999986
