Feature,Value
words per sent,11.9
LIX,23.66470588235294
# words,595
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5156626506024097
adjectives,0.54
nouns,2.04
verbs,1.44
pronouns,1.88
particles,3.28
punctuation marks,2.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.06
aux verbs,0.26
full verbs,1.12
split verbs,0.18
nominative,0.5
accusative,0.7
dative,0.54
genitive,0.02
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.52
dative obj,0.24
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.76
gen+prep obj,0.1
present forms,0.3
past forms,0.66
perfect forms,0.04
pqp forms,0.02
perfect+pqp forms,0.06
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.06
all futur forms,0.0
subj 1 forms,0.04
subj 2 forms,0.0
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.08
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.24
subjunctions,0.08
relative clauses,0.08
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.02
question words,0.12
question marks,0.12
subj/pred inversions,0.3
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,72.6
concessive,8.16
conditional,141.12
consecutive,5.86
final,12.76
interrogative,4.3
modal,37.0
other,187.26
temporal,145.86
A1 features,8
A1 features summed,0.8200000000000001
A2 features,8
A2 features summed,220.64000000000001
B1 features,5
B1 features summed,164.26000000000002
level features (all),38
level features (all) summed,19.31999999999999
