Feature,Value
words per sent,18.0
LIX,38.33333333333333
# words,900
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5688405797101449
adjectives,1.52
nouns,3.34
verbs,2.38
pronouns,3.48
particles,4.18
punctuation marks,3.04
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.72
full verbs,1.42
split verbs,0.1
nominative,1.04
accusative,0.8
dative,0.88
genitive,0.18
gen modifiers,0.16
prep with gen,0.0
all genitives,0.16
accusative obj,0.68
dative obj,0.26
genitive obj,0.0
prepositional obj,0.18
acc+dat obj,0.94
gen+prep obj,0.18
present forms,0.84
past forms,0.54
perfect forms,0.04
pqp forms,0.02
perfect+pqp forms,0.08
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.06
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.02
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.16
imperatives,0.0
passive voice,0.06
passive with agens,0.02
comparative,0.14
superlative,0.02
comp+superlative,0.16
conjunctions,0.28
subjunctions,0.24
relative clauses,0.26
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.16
question words,0.06
question marks,0.02
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,76.48
concessive,8.38
conditional,146.14
consecutive,5.86
final,12.86
interrogative,4.48
modal,37.86
other,193.04
temporal,147.78
A1 features,7
A1 features summed,0.76
A2 features,9
A2 features summed,229.8
B1 features,7
B1 features summed,166.84
level features (all),45
level features (all) summed,29.599999999999994
