Feature,Value
words per sent,9.6
LIX,15.641666666666666
# words,480
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.3706896551724138
adjectives,0.32
nouns,0.78
verbs,1.02
pronouns,1.28
particles,2.76
punctuation marks,3.42
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.04
aux verbs,0.42
full verbs,0.54
split verbs,0.04
nominative,0.22
accusative,0.4
dative,0.3
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.4
dative obj,0.14
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.54
gen+prep obj,0.0
present forms,0.26
past forms,0.18
perfect forms,0.08
pqp forms,0.0
perfect+pqp forms,0.04
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.0
subj 1 forms,0.04
subj 2 forms,0.0
subj 2 aux forms,0.04
ind speech,0.02
irrealis mode,0.0
all subj forms,0.08
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.0
comp+superlative,0.04
conjunctions,0.04
subjunctions,0.12
relative clauses,0.02
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.08
question words,0.08
question marks,0.02
subj/pred inversions,0.34
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,72.52
concessive,8.16
conditional,141.06
consecutive,5.86
final,12.74
interrogative,4.3
modal,37.0
other,187.18
temporal,145.84
A1 features,7
A1 features summed,0.38
A2 features,7
A2 features summed,219.84
B1 features,5
B1 features summed,164.18
level features (all),35
level features (all) summed,14.239999999999993
