Feature,Value
words per sent,16.72
LIX,30.11712918660287
# words,836
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4882075471698113
adjectives,1.08
nouns,2.1
verbs,2.66
pronouns,4.2
particles,4.04
punctuation marks,2.6
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.24
aux verbs,0.9
full verbs,1.44
split verbs,0.14
nominative,0.76
accusative,0.98
dative,0.68
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.74
dative obj,0.24
genitive obj,0.0
prepositional obj,0.12
acc+dat obj,0.98
gen+prep obj,0.12
present forms,0.12
past forms,0.64
perfect forms,0.0
pqp forms,0.14
perfect+pqp forms,0.32
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.14
all futur forms,0.0
subj 1 forms,0.7
subj 2 forms,0.04
subj 2 aux forms,0.36
ind speech,0.0
irrealis mode,0.02
all subj forms,1.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.02
comp+superlative,0.06
conjunctions,0.28
subjunctions,0.08
relative clauses,0.22
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.3
question words,0.22
question marks,0.12
subj/pred inversions,0.66
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,77.06
concessive,8.42
conditional,146.94
consecutive,5.86
final,12.92
interrogative,4.52
modal,38.16
other,193.8
temporal,148.0
A1 features,6
A1 features summed,1.3
A2 features,8
A2 features summed,231.26000000000005
B1 features,5
B1 features summed,167.02
level features (all),41
level features (all) summed,29.659999999999997
