Feature,Value
words per sent,13.18
LIX,30.478937784522003
# words,659
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.465
adjectives,0.76
nouns,2.1
verbs,2.2
pronouns,2.82
particles,2.38
punctuation marks,2.86
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.14
aux verbs,0.5
full verbs,1.52
split verbs,0.1
nominative,0.4
accusative,0.9
dative,0.52
genitive,0.04
gen modifiers,0.02
prep with gen,0.02
all genitives,0.04
accusative obj,0.74
dative obj,0.24
genitive obj,0.0
prepositional obj,0.16
acc+dat obj,0.98
gen+prep obj,0.16
present forms,1.32
past forms,0.12
perfect forms,0.06
pqp forms,0.0
perfect+pqp forms,0.08
past aux forms,0.04
futur 1 forms,0.0
futur 2 forms,0.06
all futur forms,0.04
subj 1 forms,0.0
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.02
all subj forms,0.02
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.16
subjunctions,0.12
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.12
question words,0.18
question marks,0.12
subj/pred inversions,0.46
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,75.46
concessive,8.28
conditional,144.3
consecutive,5.86
final,12.82
interrogative,4.4
modal,37.66
other,191.2
temporal,147.12
A1 features,8
A1 features summed,0.9200000000000002
A2 features,7
A2 features summed,226.16000000000003
B1 features,5
B1 features summed,165.76
level features (all),39
level features (all) summed,22.639999999999993
